,0,1,2,3
0,,,,
1,+,Więcej,,
2,+,Więcej,,
3,+,Więcej,,
4,+,Więcej,,
5,+,Więcej,,
6,+,Więcej,,
7,+,Więcej,,
8,+,Więcej,,
9,+,Więcej,,
10,+,Więcej,,
11,+,Więcej,,
12,+,Więcej,,
13,+,Więcej,,
14,+,Więcej,,
15,+,Więcej,,
16,+,Więcej,,
17,+,Więcej,,
18,+,Więcej,,
19,+,Więcej,,
20,+,Więcej,,
21,+,Więcej,,
22,+,Więcej,,
23,+,Więcej,,
24,+,Więcej,,
25,+,Więcej,,
26,+,Więcej,,
27,+,Więcej,,
28,+,Więcej,,
29,+,Więcej,,
30,+,Więcej,,
31,+,Więcej,,
32,+,Więcej,,
33,+,Więcej,,
34,+,Więcej,,
35,+,Więcej,,
36,+,Więcej,,
37,+,Więcej,,
38,+,Więcej,,
39,+,Więcej,,
40,+,Więcej,,
41,+,Więcej,,
42,+,Więcej,,
43,+,Więcej,,
44,+,Więcej,,
45,+,Więcej,,
46,+,Więcej,,
47,+,Więcej,,
48,+,Więcej,,
49,0001,23.03.2012,05 08 21 37 46 + 06 08,Więcej
50,0002,30.03.2012,05 07 12 19 26 + 01 05,Więcej
51,0003,06.04.2012,07 08 34 36 38 + 04 05,Więcej
52,0004,13.04.2012,05 11 12 27 32 + 01 03,Więcej
53,0005,20.04.2012,10 16 30 41 45 + 02 08,Więcej
54,0006,27.04.2012,10 13 19 40 45 + 03 05,Więcej
55,0007,04.05.2012,29 30 35 41 45 + 03 05,Więcej
56,0008,11.05.2012,15 21 38 39 47 + 01 05,Więcej
57,0009,18.05.2012,12 18 43 44 46 + 04 05,Więcej
58,0010,25.05.2012,04 11 26 32 41 + 05 07,Więcej
59,0011,01.06.2012,11 28 34 37 38 + 03 07,Więcej
60,0012,08.06.2012,10 15 16 36 44 + 07 08,Więcej
61,0013,15.06.2012,06 10 17 18 42 + 01 03,Więcej
62,0014,22.06.2012,13 14 16 47 49 + 01 07,Więcej
63,0015,29.06.2012,05 08 19 33 36 + 02 03,Więcej
64,0016,06.07.2012,10 22 24 33 38 + 02 06,Więcej
65,0017,13.07.2012,08 12 27 31 37 + 03 06,Więcej
66,0018,20.07.2012,06 09 13 14 25 + 01 08,Więcej
67,0019,27.07.2012,09 22 23 34 35 + 01 03,Więcej
68,0020,03.08.2012,12 15 18 24 25 + 04 05,Więcej
69,0021,10.08.2012,06 11 40 46 48 + 03 06,Więcej
70,0022,17.08.2012,03 16 30 34 35 + 02 05,Więcej
71,0023,24.08.2012,09 20 21 33 49 + 05 07,Więcej
72,0024,31.08.2012,08 22 28 40 42 + 04 08,Więcej
73,0025,07.09.2012,15 23 25 46 49 + 02 04,Więcej
74,0026,14.09.2012,10 14 15 24 47 + 04 08,Więcej
75,0027,21.09.2012,18 29 41 44 49 + 01 05,Więcej
76,0028,28.09.2012,05 14 16 34 39 + 01 06,Więcej
77,0029,05.10.2012,26 28 40 49 50 + 02 07,Więcej
78,0030,12.10.2012,06 11 17 43 49 + 04 08,Więcej
79,0031,19.10.2012,06 14 18 19 48 + 03 08,Więcej
80,0032,26.10.2012,07 17 18 19 22 + 04 05,Więcej
81,0033,02.11.2012,03 05 07 12 31 + 05 07,Więcej
82,0034,09.11.2012,25 29 38 41 44 + 03 08,Więcej
83,0035,16.11.2012,01 04 07 21 26 + 04 07,Więcej
84,0036,23.11.2012,01 21 32 36 50 + 02 05,Więcej
85,0037,30.11.2012,02 13 21 24 37 + 06 07,Więcej
86,0038,07.12.2012,13 20 22 27 42 + 03 05,Więcej
87,0039,14.12.2012,17 28 31 35 39 + 05 08,Więcej
